number,name,chapter,verse,text
13,1 chronicles,2,1,"These are the sons of Israel; Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun,"
13,1 chronicles,2,2,"Dan, Joseph, and Benjamin, Naphtali, Gad, and Asher."
13,1 chronicles,2,3,"The sons of Judah; Er, and Onan, and Shelah: which three were born unto him of the daughter of Shua the Canaanitess. And Er, the firstborn of Judah, was evil in the sight of the LORD; and he slew him."
13,1 chronicles,2,4,And Tamar his daughter in law bore him Pharez and Zerah. All the sons of Judah were five.
13,1 chronicles,2,5,"The sons of Pharez; Hezron, and Hamul."
13,1 chronicles,2,6,"And the sons of Zerah; Zimri, and Ethan, and Heman, and Calcol, and Dara: five of them in all."
13,1 chronicles,2,7,"And the sons of Carmi; Achar, the troubler of Israel, who transgressed in the thing accursed."
13,1 chronicles,2,8,And the sons of Ethan; Azariah.
13,1 chronicles,2,9,"The sons also of Hezron, that were born unto him; Jerahmeel, and Ram, and Chelubai."
13,1 chronicles,2,10,"And Ram begat Amminadab; and Amminadab begat Nahshon, prince of the children of Judah;"
13,1 chronicles,2,11,"And Nahshon begat Salma, and Salma begat Boaz,"
13,1 chronicles,2,12,"And Boaz begat Obed, and Obed begat Jesse,"
13,1 chronicles,2,13,"And Jesse begat his firstborn Eliab, and Abinadab the second, and Shimma the third,"
13,1 chronicles,2,14,"Nethaneel the fourth, Raddai the fifth,"
13,1 chronicles,2,15,"Ozem the sixth, David the seventh:"
13,1 chronicles,2,16,"Whose sisters were Zeruiah, and Abigail. And the sons of Zeruiah; Abishai, and Joab, and Asahel, three."
13,1 chronicles,2,17,And Abigail bare Amasa: and the father of Amasa was Jether the Ishmeelite.
13,1 chronicles,2,18,"And Caleb the son of Hezron begat children of Azubah his wife, and of Jerioth: her sons are these; Jesher, and Shobab, and Ardon."
13,1 chronicles,2,19,"And when Azubah was dead, Caleb took unto him Ephrath, which bare him Hur."
13,1 chronicles,2,20,"And Hur begat Uri, and Uri begat Bezaleel."
13,1 chronicles,2,21,"And afterward Hezron went in to the daughter of Machir the father of Gilead, whom he married when he was threescore years old; and she bare him Segub."
13,1 chronicles,2,22,"And Segub begat Jair, who had three and twenty cities in the land of Gilead."
13,1 chronicles,2,23,"And he took Geshur, and Aram, with the towns of Jair, from them, with Kenath, and the towns thereof, even threescore cities. All these belonged to the sons of Machir the father of Gilead."
13,1 chronicles,2,24,"And after that Hezron was dead in Calebephratah, then Abiah Hezron's wife bare him Ashur the father of Tekoa."
13,1 chronicles,2,25,"And the sons of Jerahmeel the firstborn of Hezron were, Ram the firstborn, and Bunah, and Oren, and Ozem, and Ahijah."
13,1 chronicles,2,26,"Jerahmeel had also another wife, whose name was Atarah; she was the mother of Onam."
13,1 chronicles,2,27,"And the sons of Ram the firstborn of Jerahmeel were, Maaz, and Jamin, and Eker."
13,1 chronicles,2,28,"And the sons of Onam were, Shammai, and Jada. And the sons of Shammai; Nadab and Abishur."
13,1 chronicles,2,29,"And the name of the wife of Abishur was Abihail, and she bare him Ahban, and Molid."
13,1 chronicles,2,30,"And the sons of Nadab; Seled, and Appaim: but Seled died without children."
